label,horizon_sessions,signals,resolved,gross_mean_return,gross_median_return,net_mean_return,net_median_return,net_win_rate,net_p10,net_p90,cost_bps_round_trip
strict_accumulation_base_v2,10,78544,77081,0.00882888224402398,0.000526315789473708,0.00780888224402398,-0.0004936842105262918,0.49809940192784213,-0.08560917573057267,0.10467105691056913,10.2
gap_follow_through,10,4022,3978,0.002262753619127417,-0.020590729225551163,0.001242753619127412,-0.021610729225551163,0.4348919054801408,-0.18710493631971886,0.19809609106009557,10.2
turnover_regime_switch,10,2891,2844,-0.001261231731467703,-0.015202013532439218,-0.0022812317314677053,-0.016222013532439218,0.42967651195499296,-0.15605384285210458,0.14805237422771414,10.2
limit_up_retest,10,12195,12035,0.0015603779707183078,-0.015217391304347738,0.0005403779707183042,-0.01623739130434774,0.4428749480681346,-0.17037515233387568,0.17828931684783308,10.2
strict_gap_follow_through,10,3172,3137,0.0005546653879706841,-0.02579559792513675,-0.0004653346120293204,-0.02681559792513675,0.4271597067261715,-0.19351404337643827,0.21057189780740532,10.2
strict_obv_volume_price,10,2887,2857,-0.008185472146995224,-0.025844930417495027,-0.009205472146995228,-0.026864930417495027,0.4014700735036752,-0.18169870213747497,0.16216470575692407,10.2
strict_gap_follow_through_v2,10,6040,5981,0.0051141992852831745,-0.012987012987013102,0.004094199285283172,-0.014007012987013102,0.4524327035612774,-0.1736863069451939,0.18508709117221403,10.2
strict_turnover_weak_to_strong_v2,10,6834,6792,7.905382279173651e-05,-0.014295445698715381,-0.000940946177208267,-0.015315445698715381,0.4383097762073027,-0.16384911336270738,0.15946671032870943,10.2
strict_leader_momentum_v2,10,3261,3239,-0.01718567280664522,-0.04624962941002064,-0.018205672806645225,-0.04726962941002064,0.3775856745909231,-0.2192878191888382,0.20442725975072196,10.2
strict_obv_volume_price_v2,10,2923,2892,-0.007989436777327132,-0.02562539086929322,-0.009009436777327138,-0.02664539086929322,0.4021438450899032,-0.18096110258673367,0.16245984595501903,10.2
strict_bollinger_release_v2,10,3763,3722,-0.000458524223794569,-0.009207295756521738,-0.0014785242237945711,-0.010227295756521738,0.44250403009134875,-0.11729616279069766,0.11272987533659114,10.2
strict_first_board_breakout_v2,10,16643,16420,0.006899908932040378,-0.002923776020078539,0.005879908932040375,-0.003943776020078539,0.47771010962241167,-0.09894897760861027,0.11265538779731142,10.2
platform_breakout,10,1537,1514,-0.012869619016594605,-0.020993304517332056,-0.013889619016594608,-0.022013304517332057,0.3579920739762219,-0.12717874872807247,0.09414026112992677,10.2
rsi_mean_reversion,10,25614,25476,0.017943550051941492,0.007032406900059351,0.01692355005194149,0.006012406900059351,0.5261422515308526,-0.10292471818972085,0.1537186126982432,10.2
first_board_breakout,10,5803,5749,0.007382942416426579,-0.0025146689019278634,0.006362942416426577,-0.0035346689019278635,0.47608279700817535,-0.09426035084115607,0.11124275031902654,10.2
