strategy_id,evaluated_points,signals_raw__webpro,signals_deduped__webpro,bull_hits_raw__webpro,bull_precision_raw__webpro,bull_hits_deduped__webpro,bull_precision_deduped__webpro,joint_hits_deduped__webpro,joint_precision_deduped__webpro,strict_low_rate_deduped__webpro,distinct_stocks__webpro,distinct_dates__webpro,censored_signals__webpro,hhi_date_concentration__webpro,bull_wilson_low__webpro,bull_wilson_high__webpro,joint_wilson_low__webpro,joint_wilson_high__webpro,baseline__webpro,lift__webpro,signals_raw__low60,signals_deduped__low60,bull_hits_raw__low60,bull_precision_raw__low60,bull_hits_deduped__low60,bull_precision_deduped__low60,joint_hits_deduped__low60,joint_precision_deduped__low60,strict_low_rate_deduped__low60,distinct_stocks__low60,distinct_dates__low60,censored_signals__low60,hhi_date_concentration__low60,bull_wilson_low__low60,bull_wilson_high__low60,joint_wilson_low__low60,joint_wilson_high__low60,baseline__low60,lift__low60,signals_raw__low504,signals_deduped__low504,bull_hits_raw__low504,bull_precision_raw__low504,bull_hits_deduped__low504,bull_precision_deduped__low504,joint_hits_deduped__low504,joint_precision_deduped__low504,strict_low_rate_deduped__low504,distinct_stocks__low504,distinct_dates__low504,censored_signals__low504,hhi_date_concentration__low504,bull_wilson_low__low504,bull_wilson_high__low504,joint_wilson_low__low504,joint_wilson_high__low504,baseline__low504,lift__low504
turnover_weak_to_strong,269,269,256,30,0.11152416356877323,28,0.109375,28,0.109375,0.875,250,118,0,0.0252685546875,0.07676405306596229,0.15353583476674978,0.07676405306596229,0.15353583476674978,0.03034793997315741,3.604033753089719,228,218,0,0.0,0,0.0,0,0.0,0.5091743119266054,216,93,41,0.03320427573436579,0.0,0.017316234941454418,0.0,0.017316234941454418,0.0007520328727222289,0.0,109,105,10,0.09174311926605505,9,0.08571428571428572,3,0.02857142857142857,0.20952380952380953,105,38,160,0.08879818594104305,0.04574947875415183,0.15492275641568207,0.00976383903870233,0.08065629063731557,0.04695598442435639,1.8254177133133456
relative_strength_rank,20366,20112,8977,2235,0.11112768496420047,904,0.10070179347220674,903,0.10059039768296758,0.9245850506850841,2954,572,254,0.01132570184279807,0.0946463826994357,0.10709879531405228,0.09453809020521332,0.1069843915265097,0.03034793997315741,3.3182414872731703,19253,8646,33,0.0017140185945047526,17,0.001966227157066852,17,0.001966227157066852,0.609646079111728,2942,529,1113,0.012093109020073439,0.0012280224591829435,0.003146792848224249,0.0012280224591829435,0.003146792848224249,0.0007520328727222289,2.614549480994693,3824,2098,184,0.04811715481171548,92,0.0438512869399428,39,0.018589132507149667,0.1444232602478551,1629,153,16542,0.02195199749909351,0.035891455843991435,0.053478490700924766,0.013627990775016327,0.025309988337173184,0.04695598442435639,0.9338806858705072
limit_up_retest,12195,12035,6679,1286,0.10685500623182384,659,0.09866746518939962,658,0.0985177421769726,0.9020811498727355,2665,508,160,0.013185376480072723,0.09174458851724317,0.10605173314709816,0.0915997797425079,0.10589726802579323,0.03034793997315741,3.251207998851667,11130,6208,24,0.00215633423180593,12,0.0019329896907216496,12,0.0019329896907216496,0.5956829896907216,2621,461,1065,0.014887155084227865,0.001106125597232458,0.0033758720527815797,0.001106125597232458,0.0033758720527815797,0.0007520328727222289,2.570352654564901,4004,2187,286,0.07142857142857142,151,0.06904435299497028,92,0.04206675811614083,0.30498399634202106,1699,137,8191,0.0757916264981019,0.05915688789105576,0.08044310807822137,0.034425629504635735,0.05131378265794362,0.04695598442435639,1.4704058245482443
reversal_engulf,63,62,61,6,0.0967741935483871,6,0.09836065573770492,5,0.08196721311475409,0.8524590163934426,61,40,1,0.03359312012899758,0.04586457581547049,0.19844607216825946,0.03551956660687358,0.17794661802925352,0.03034793997315741,3.241098269757499,59,59,0,0.0,0,0.0,0,0.0,0.5254237288135594,59,39,4,0.03476012640045966,0.0,0.061129370526788386,0.0,0.061129370526788386,0.0007520328727222289,0.0,22,22,2,0.09090909090909091,2,0.09090909090909091,1,0.045454545454545456,0.2727272727272727,22,15,41,0.10330578512396688,0.025295428990995267,0.27814946841605814,0.00806942762126385,0.21798045838657332,0.04695598442435639,1.936049089877791
strict_turnover_weak_to_strong_v2,6834,6792,5182,691,0.10173733804475854,509,0.09822462369741412,508,0.09803164801235044,0.9019683519876496,2594,475,42,0.018012801787978188,0.09041653747738868,0.10662794738294676,0.09023078981443246,0.1064280295727331,0.03034793997315741,3.2366158554515816,6343,4812,19,0.0029954280309002048,14,0.0029093931837073984,14,0.0029093931837073984,0.6473399833748961,2549,429,491,0.020463008452821955,0.001733899289245255,0.0048779169619673594,0.001733899289245255,0.0048779169619673594,0.0007520328727222289,3.868704799001536,2658,1976,170,0.06395786305492852,128,0.06477732793522267,87,0.04402834008097166,0.3026315789473684,1666,137,4176,0.07607842695340032,0.054747134287029056,0.076496434566949,0.03583290893589168,0.05399320215414813,0.04695598442435639,1.3795329547307336
turnover_regime_switch,2891,2844,2465,248,0.08720112517580872,209,0.08478701825557809,209,0.08478701825557809,0.9075050709939148,1811,344,47,0.016928767450184942,0.07442588558360529,0.09644027405314902,0.07442588558360529,0.09644027405314902,0.03034793997315741,2.7938310913548583,2767,2396,4,0.0014456089627755693,4,0.001669449081803005,4,0.001669449081803005,0.6439899833055092,1779,320,124,0.017840669340386455,0.000649401716194663,0.004284865410981786,0.000649401716194663,0.004284865410981786,0.0007520328727222289,2.219915036107249,1273,1087,73,0.05734485467399843,58,0.05335786568537258,38,0.034958601655933765,0.2529898804047838,1046,106,1618,0.0661146323236307,0.041501275455902986,0.06836020611104664,0.02557416063412185,0.04761838093558575,0.04695598442435639,1.136337920277857
main_wave_acceleration,14736,14482,9035,1269,0.08762601850573125,724,0.0801328168234643,722,0.0799114554510238,0.9414499169894853,3049,533,254,0.010878472055270517,0.07471136066008195,0.08591115555895097,0.07449715037453086,0.08568283125439743,0.03034793997315741,2.640469728566135,13978,8694,24,0.0017169838317355845,15,0.001725327812284334,15,0.001725327812284334,0.650103519668737,3034,496,758,0.011624245643709341,0.0010458848798199282,0.0028449033095157917,0.0010458848798199282,0.0028449033095157917,0.0007520328727222289,2.294218610469707,3602,2418,148,0.041088284286507494,92,0.0380479735318445,49,0.020264681555004136,0.19313482216708022,1921,139,11134,0.026361429066944154,0.0311262112993555,0.04643520715623685,0.015362503071989575,0.02668874617464171,0.04695598442435639,0.81029018980824
donchian_turtle,24564,24242,13582,1941,0.08006765118389572,942,0.0693565012516566,940,0.06920924753350022,0.9486084523634222,3153,622,322,0.014328192261011565,0.0652044457432764,0.07375208959852246,0.06506143069211695,0.07360068048669399,0.03034793997315741,2.285377568065643,23349,13035,32,0.001370508372949591,18,0.001380897583429229,18,0.001380897583429229,0.682777138473341,3143,577,1215,0.01542349541650353,0.000873693879121613,0.002181904192725608,0.000873693879121613,0.002181904192725608,0.0007520328727222289,1.8362197099584472,6537,4003,304,0.046504512773443474,170,0.04246814888833375,93,0.023232575568323758,0.20109917561828627,2505,185,18027,0.024330178546454886,0.03664751638063007,0.049166075785278755,0.01900296987308814,0.028376358900396418,0.04695598442435639,0.9044246310445838
high_level_consensus,169,162,158,10,0.06172839506172839,10,0.06329113924050633,10,0.06329113924050633,0.9746835443037974,158,80,7,0.04550552796026276,0.03473843819243328,0.11257522911149492,0.03473843819243328,0.11257522911149492,0.03034793997315741,2.0855168191477578,160,156,0,0.0,0,0.0,0,0.0,0.6730769230769231,156,78,9,0.04659763313609471,0.0,0.024032931437414938,0.0,0.024032931437414938,0.0007520328727222289,0.0,33,32,1,0.030303030303030304,1,0.03125,1,0.03125,0.25,32,24,136,0.05078125,0.005537860164003122,0.15744263820012558,0.005537860164003122,0.15744263820012558,0.04695598442435639,0.6655168746454906
strict_bollinger_release_v2,3763,3722,3236,235,0.0631380977968834,203,0.06273176761433868,203,0.06273176761433868,0.9632262051915945,2184,362,41,0.022890656871628053,0.05488462409047018,0.07161584330273268,0.05488462409047018,0.07161584330273268,0.03034793997315741,2.0670848719822366,3661,3180,8,0.002185195301830101,5,0.0015723270440251573,5,0.0015723270440251573,0.7650943396226415,2169,341,102,0.023667576440805353,0.000671785294021985,0.003675623017515314,0.000671785294021985,0.003675623017515314,0.0007520328727222289,2.0907690355789974,1166,1007,27,0.023156089193825044,23,0.022840119165839126,11,0.010923535253227408,0.1807348560079444,962,100,2597,0.02974905551901337,0.01526707478758147,0.03403982530617017,0.006110326853856712,0.019453977612683727,0.04695598442435639,0.4864155111609544
